	NumRespondents	PythonUsers	PctPythonUsers
Sao Tome and Principe	1	1	100.0
Timor-Leste	1	1	100.0
Dominica	1	1	100.0
Niger	1	1	100.0
Turkmenistan	7	6	85.71428571428571
Mauritania	7	5	71.42857142857143
Guinea	3	2	66.66666666666666
Bahamas	3	2	66.66666666666666
Guyana	3	2	66.66666666666666
Uganda	72	47	65.27777777777779
Iceland	49	30	61.224489795918366
Haiti	5	3	60.0
Benin	5	3	60.0
Namibia	5	3	60.0
Congo, Republic of the...	7	4	57.14285714285714
Oman	11	6	54.54545454545454
Cuba	30	16	53.333333333333336
Republic of Korea	39	20	51.28205128205128
San Marino	2	1	50.0
Sierra Leone	2	1	50.0
Monaco	4	2	50.0
South Korea	160	80	50.0
Bhutan	2	1	50.0
Seychelles	2	1	50.0
Chile	206	102	49.51456310679612
Finland	546	266	48.717948717948715
Kenya	249	120	48.19277108433735
United States	20949	10083	48.13117571244451
Israel	952	457	48.00420168067227
Ecuador	82	39	47.5609756097561
Taiwan	187	88	47.05882352941176
Montenegro	17	8	47.05882352941176
Mongolia	17	8	47.05882352941176
Switzerland	978	460	47.034764826175866
United Republic of Tanzania	32	15	46.875
Hong Kong (S.A.R.)	188	88	46.808510638297875
Japan	391	182	46.547314578005114
Maldives	13	6	46.15384615384615
Canada	3395	1558	45.89101620029455
Singapore	303	139	45.87458745874587
New Zealand	524	236	45.038167938931295
China	664	297	44.72891566265061
Honduras	27	12	44.44444444444444
France	2391	1054	44.08197406942701
Iraq	39	17	43.58974358974359
Thailand	214	92	42.99065420560748
Democratic Republic of the Congo	7	3	42.857142857142854
Nepal	237	101	42.616033755274266
Estonia	195	82	42.05128205128205
Russian Federation	1694	708	41.79456906729634
Germany	5866	2451	41.783157176951924
Ireland	501	209	41.71656686626746
Rwanda	12	5	41.66666666666667
United Kingdom	5737	2384	41.55481959212132
Australia	1903	790	41.51339989490278
Netherlands	1852	767	41.414686825054
Luxembourg	61	25	40.98360655737705
Belgium	727	296	40.715268225584595
Greece	556	226	40.647482014388494
Norway	574	232	40.41811846689895
Austria	839	338	40.286054827175214
Angola	5	2	40.0
Spain	1604	641	39.96259351620948
Slovenia	298	119	39.93288590604027
Denmark	617	246	39.87034035656402
Italy	1576	625	39.65736040609137
Panama	33	13	39.39393939393939
Brazil	1948	767	39.37371663244353
Turkey	949	371	39.09378292939937
Poland	1922	751	39.07388137356919
Sweden	1274	496	38.93249607535322
Slovakia	260	101	38.84615384615385
Ethiopia	52	20	38.46153846153847
Qatar	13	5	38.46153846153847
Mexico	642	245	38.161993769470406
Sudan	42	16	38.095238095238095
Senegal	21	8	38.095238095238095
Ghana	84	32	38.095238095238095
Guatemala	67	25	37.3134328358209
Czech Republic	764	285	37.303664921465966
Hungary	513	191	37.23196881091618
Sri Lanka	372	137	36.82795698924731
Paraguay	52	19	36.53846153846153
Iran	738	268	36.31436314363143
Peru	130	47	36.15384615384615
Uzbekistan	39	14	35.8974358974359
Zimbabwe	39	14	35.8974358974359
Costa Rica	84	30	35.714285714285715
Lebanon	120	42	35.0
Azerbaijan	49	17	34.69387755102041
Portugal	525	182	34.66666666666667
Argentina	553	191	34.53887884267631
Colombia	313	108	34.504792332268366
Egypt	323	111	34.36532507739938
India	9061	3105	34.267740867453924
Belarus	202	69	34.15841584158416
Jordan	65	22	33.84615384615385
Viet Nam	231	78	33.76623376623377
Bangladesh	605	204	33.71900826446281
Saudi Arabia	98	33	33.6734693877551
Croatia	260	87	33.46153846153846
Mali	3	1	33.33333333333333
Nicaragua	30	10	33.33333333333333
Zambia	12	4	33.33333333333333
Liechtenstein	3	1	33.33333333333333
